nome,cnpj,produto,data,preco,bandeira
SUPER POSTO ESTRELA LTDA.,02848944000149,ETANOL,10/02/2020,"3,939",SABBÁ
SUPER POSTO IMPERADOR LTDA,08762127000150,ETANOL,10/02/2020,"3,959",IPIRANGA
SUPER POSTO PALMEIRA LTDA,83838839000120,ETANOL,10/02/2020,"3,899",IPIRANGA
DF COMERCIO DE COMBUSTIVEL LTDA,17372578000171,ETANOL,17/02/2020,"3,89",BRANCA
SUPER POSTO ESTRELA LTDA.,02848944000149,ETANOL,17/02/2020,"3,939",SABBÁ
SUPER POSTO IMPERADOR LTDA,08762127000150,ETANOL,17/02/2020,"3,959",IPIRANGA
SUPER POSTO PALMEIRA LTDA,83838839000120,ETANOL,17/02/2020,"3,899",IPIRANGA
DF COMERCIO DE COMBUSTIVEL LTDA,17372578000171,ETANOL,26/02/2020,"3,89",BRANCA
SUPER POSTO ESTRELA LTDA.,02848944000149,ETANOL,26/02/2020,"3,999",SABBÁ
SUPER POSTO IMPERADOR LTDA,08762127000150,ETANOL,26/02/2020,"3,959",IPIRANGA
SUPER POSTO PALMEIRA LTDA,83838839000120,ETANOL,26/02/2020,"3,899",IPIRANGA
MAISPETRO COMERCIO DE COMBUSTIVEIS EIRELI,14079073000125,ETANOL,03/02/2020,"3,899",BRANCA
FERNANDO O. B. BARRA E CIA. LTDA.,15755663000193,ETANOL,05/02/2020,"4,1",BRANCA
FERNANDO O. B. BARRA E CIA. LTDA.,15755663000193,ETANOL,11/02/2020,"4,1",BRANCA
FERNANDO O. B. BARRA E CIA. LTDA.,15755663000193,ETANOL,18/02/2020,"4,1",BRANCA
MAISPETRO COMERCIO DE COMBUSTIVEIS EIRELI,14079073000125,ETANOL,18/02/2020,"3,899",BRANCA
FERNANDO O. B. BARRA E CIA. LTDA.,15755663000193,ETANOL,27/02/2020,"4,1",BRANCA
CS COMERCIO DE COMBUSTIVEIS LTDA,09432467000185,ETANOL,05/02/2020,"3,84",PETROBRAS DISTRIBUIDORA S.A.
POSTO 26 LTDA.,12136980000133,ETANOL,05/02/2020,"3,88",SABBÁ
POSTO PRACA MARABA COMERCIO DE COMBUSTIVEIS LTDA,20665359000195,ETANOL,05/02/2020,"3,899",IPIRANGA
POSTO SANTA LUZIA TRES LTDA - EPP,18716585000106,ETANOL,05/02/2020,"3,79",BRANCA
POSTO SAO BENTO LTDA,22975338000100,ETANOL,05/02/2020,"4,19",SABBÁ
CS COMERCIO DE COMBUSTIVEIS LTDA,09432467000185,ETANOL,12/02/2020,"3,82",PETROBRAS DISTRIBUIDORA S.A.
POSTO 26 LTDA.,12136980000133,ETANOL,12/02/2020,"3,999",SABBÁ
POSTO PRACA MARABA COMERCIO DE COMBUSTIVEIS LTDA,20665359000195,ETANOL,12/02/2020,"3,899",IPIRANGA
POSTO SANTA LUZIA TRES LTDA - EPP,18716585000106,ETANOL,12/02/2020,"3,79",BRANCA
POSTO SAO BENTO LTDA,22975338000100,ETANOL,12/02/2020,"4,19",SABBÁ
CS COMERCIO DE COMBUSTIVEIS LTDA,09432467000185,ETANOL,19/02/2020,"3,82",PETROBRAS DISTRIBUIDORA S.A.
POSTO 26 LTDA.,12136980000133,ETANOL,19/02/2020,"3,999",SABBÁ
POSTO PRACA MARABA COMERCIO DE COMBUSTIVEIS LTDA,20665359000195,ETANOL,19/02/2020,"3,899",IPIRANGA
POSTO SANTA LUZIA TRES LTDA - EPP,18716585000106,ETANOL,19/02/2020,"3,79",BRANCA
POSTO SAO BENTO LTDA,22975338000100,ETANOL,19/02/2020,"4,19",SABBÁ
CS COMERCIO DE COMBUSTIVEIS LTDA,09432467000185,ETANOL,28/02/2020,"3,82",PETROBRAS DISTRIBUIDORA S.A.
POSTO 26 LTDA.,12136980000133,ETANOL,28/02/2020,"3,999",SABBÁ
POSTO SANTA LUZIA TRES LTDA - EPP,18716585000106,ETANOL,28/02/2020,"3,79",BRANCA
POSTO SAO BENTO LTDA,22975338000100,ETANOL,28/02/2020,"4,19",SABBÁ
AUTO POSTO CAMARGOS EIRELI,13611716000177,ETANOL,04/02/2020,"4,299",IPIRANGA
AUTO POSTO FERROVIA LTDA,05632439000150,ETANOL,04/02/2020,"4,17",SABBÁ
